"pop3a_total","pop3b_total","pop3c_total","pop3d_total","pop3e_total","pop3f_total","pop3g_total","pop3h_total","pop3i_total","pop3j_total","pop3k_total","pop3l_total","pop3m_total","pop3n_total","pop3o_total","pop3p_total","pop3q_total","pop3r_total","pop3s_total","pop3t_total","pop3u_total","pop3v_total","pop3w_total","pop3x_total","age","house","edu","ethnicity_x","house2","sex","socialaccept_mcfsw","socialaccept_msm","socialaccept_fsw","socialaccept_pwid"
0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,3,0,24,"Executive ","University","Chinese","4+ room",0,-9,-5,-5,-7
2,0,0,1,0,1,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,35,"3-room","Secondary","Indian","1-3 room",0,-2,-2,-2,-9
0,7,2,3,4,2,0,0,1,1,0,1,0,0,0,0,1,2,0,0,8,5,0,0,57,"4-room","Pre-tertiary","Malay","4+ room",1,-9,-9,-9,-9
16,0,0,3,2,11,8,0,0,0,0,0,0,0,1,4,0,0,0,0,3,2,4,0,39,"4-room","Pre-tertiary","Chinese","4+ room",0,0,-4,-1,-7
2,0,2,1,0,1,0,1,0,2,0,2,0,1,4,1,0,0,1,0,4,2,0,2,57,"5-room","Secondary","Indian","4+ room",0,-5,-9,-9,-9
0,3,1,3,2,1,0,2,0,1,2,1,0,0,4,3,1,2,0,0,3,3,0,0,26,"3-room","University","Malay","1-3 room",0,-9,-9,-9,-9
1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,68,"Landed","Secondary","Chinese","Private",1,-4,-9,-6,-8
0,0,1,3,4,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,3,2,2,0,59,"4-room","Secondary","Chinese","4+ room",1,-2,-9,-9,-8
10,2,3,2,0,0,0,6,0,0,1,0,0,0,0,15,0,5,0,0,10,15,4,0,55,"3-room","University","Chinese","1-3 room",0,-9,-9,-3,-9
0,1,2,3,0,1,0,2,1,0,0,2,2,1,1,0,0,2,0,0,2,2,0,0,49,"5-room","Secondary","Malay","4+ room",1,-8,-9,-9,-9
1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,"4-room","Pre-tertiary","Malay","4+ room",1,-8,-7,-9,-9
0,5,1,1,0,0,0,2,0,0,2,2,0,1,2,5,0,2,0,0,0,2,0,0,33,"5-room","Pre-tertiary","Malay","4+ room",0,-7,-7,-8,-6
0,10,2,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,"4-room","Pre-tertiary","Malay","4+ room",0,-7,-9,-7,-9
1,0,0,0,1,0,0,0,0,0,0,4,0,0,6,2,0,1,0,0,0,0,0,7,36,"3-room","Secondary","Malay","1-3 room",0,-5,-6,-8,-6
3,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,51,"5-room","Secondary","Indian","4+ room",0,-5,-9,-7,-9
1,3,6,2,2,2,3,1,0,1,2,1,1,1,1,3,0,1,0,2,1,1,1,0,48,"5-room","Secondary","Indian","4+ room",1,0,-9,0,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,"3-room","Primary","Malay","1-3 room",0,-9,-9,-8,-7
5,6,3,4,20,7,0,0,3,0,0,0,0,6,0,0,3,0,0,0,10,4,2,2,55,"5-room","Primary","Chinese","4+ room",1,-9,-9,-8,-9
2,5,4,3,3,2,1,3,2,3,3,4,3,2,2,2,3,4,1,0,5,5,2,1,48,"5-room","Secondary","Malay","4+ room",0,-9,-9,-9,-9
1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,57,"5-room","University","Chinese","4+ room",1,-5,-9,-5,-4
3,0,7,5,8,2,0,3,0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,63,"4-room","Secondary","Indian","4+ room",1,-9,-9,-9,-9
0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,4,0,50,"4-room","Pre-tertiary","Malay","4+ room",0,-9,-9,-9,-9
0,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,53,"4-room","Primary","Malay","4+ room",0,-9,-9,-9,-7
1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,36,"5-room","University","Chinese","4+ room",1,0,-6,-2,-9
1,0,0,0,2,1,2,1,1,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,34,"Condominium","University","Indian","Private",0,-6,-5,-7,-8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47,"5-room","Pre-tertiary","Chinese","4+ room",1,-5,-5,-5,-9
0,0,0,0,4,0,0,2,0,1,2,0,0,0,2,0,0,2,0,0,0,2,2,0,58,"5-room","Pre-tertiary","Malay","4+ room",0,-8,-8,-4,-8
0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,1,0,0,0,0,0,0,44,"5-room","Pre-tertiary","Chinese","4+ room",0,-9,-9,-9,-9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,"4-room","Secondary","Malay","4+ room",0,-9,-9,-9,-5
2,3,40,1,0,3,1,20,2,0,3,10,0,30,2,30,14,0,0,0,1,1,0,0,23,"5-room","Pre-tertiary","Indian","4+ room",1,-6,-6,-7,-9
0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,3,3,1,0,56,"5-room","Primary","Indian","4+ room",0,-9,-9,-9,-9
